prompt,response
Hi,"Hello, How can i help you?"
Hello,"Hello, How can i help you?"
Hey,"Hello, How can i help you?"
Who are you? ,"Im BankBot,a customer service chatbot developed by Iyola as an Internship project,here to help you with your Banking service related queries"
What are you?,"Im BankBot,a customer service chatbot developed by Iyola as an Internship project,here to help you with your Banking service related queries"
what do you do?,"Im here to help you with your Banking service related queries"
Thank you,"Always happy to Help!"
Bank name is?,"MyLLMBank "
what is the bank name?,"MyLLMBank"
what is your Name?,"My Name is BankBot!"
do you have a name?,"My Name is BankBot!"
What are Sevices provided by the bank?,"Account management,loans,Money Transfer etc."
What are your working hours?,"Our working hours are Monday to Friday, 9:00 AM to 5:00 PM, and Saturday, 9:00 AM to 1:00 PM."
Where are your branches located?,"You can find our branch locations at [bank website link/branch locator tool]."
How can I contact customer support?,"You can call us at [customer care number] or email us at [support email address]."
How do I open a bank account?,"To open an account, visit our nearest branch with valid ID proof, address proof, and a passport-sized photograph. You can also apply online at [bank website link]."
How can I check my account balance?,"You can check your account balance via our mobile app, online banking, or by visiting an ATM."
How do I close my account?,"To close your account, visit your branch with a valid ID and fill out the account closure form."
How do I apply for a debit/credit card?,"You can apply for a debit or credit card through our mobile app, online banking, or at your nearest branch."
What should I do if my card is lost or stolen?,"If your card is lost or stolen, immediately report it by calling our customer care or blocking it via our mobile app."
How do I reset my debit/credit card PIN?,"You can reset your PIN through our mobile app, online banking, or an ATM."
What types of loans do you offer?,"We offer personal loans, home loans, car loans, and education loans. Visit [bank website link] for more details."
How can I apply for a loan?,"You can apply for a loan online at [bank website link], via our mobile app, or by visiting your nearest branch."
What is the interest rate on home loans?,"Our current home loan interest rates start at [X%]. Please check [bank website link] for the latest rates."
How do I register for online banking?,"To register, visit [bank website link] or download our mobile app. Follow the on-screen instructions to set up your account."
I forgot my online banking password. What should I do?,"Click on the 'Forgot Password' option on the login page of our online banking portal or mobile app and follow the steps to reset it."
Is mobile banking secure?,"Yes, our mobile banking app is protected with advanced encryption and multi-factor authentication to ensure your data is secure."
How do I transfer money online?,"Log in to our online banking portal or mobile app, select the 'Transfer Funds' option, and follow the prompts."
What is the daily limit for online transfers?,"The daily transfer limit is [amount]. For higher limits, contact customer support."
How long does it take for an NEFT/RTGS/IMPS transfer to process?,"NEFT processes within a few hours during banking hours. RTGS processes in real-time during banking hours. IMPS is instant and available 24/7."
How do I open a fixed deposit account?,"You can open a fixed deposit account through our mobile app, online banking, or by visiting a branch."
What is the current interest rate on fixed deposits?,"Our fixed deposit rates start at [X%]. Please check [bank website link] for updated rates."
Can I break my fixed deposit before maturity?,"Yes, you can withdraw your fixed deposit prematurely. However, a penalty may apply."
